review,sentiment,review_lemmatized
pin pas berselang hri pin ny d blokir gimna cra transaksi klu pin ny aj gak dpake tolong solosi ny ny udah isi saldo,0.0,pin pas selang hri pin ny d blokir gimna cra transaksi klu pin ny aj gak dpake tolong solosi ny ny udah isi saldo
knp hrs apk yg performa y tdk unggul apk yg shrus y klo emg apk livin by mandiri yg biru ganti dgn yg kuning yg bagus yg knpa mengecewakan login verifikasi nomor hp aja susah ga sampe pulsa habis tolong yg apk livin by mandiri yg sempurnakan performa nya jgn smpe apk yg ganti yg buruk,0.0,knp hrs apk yang performa y tdk unggul apk yang shrus y klo emg apk livin by mandiri yang biru ganti dgn yang kuning yang bagus yang knpa kecewa login verifikasi nomor hp aja susah ga sampe pulsa habis tolong yang apk livin by mandiri yang sempurnakan performa dia jgn smpe apk yang ganti yang buruk
kek taik livin gak enak login aja susah dg alasan terhubung kontil,0.0,kek taik livin gak enak login aja susah dg alasan hubung kontil
gal login apikasi yg udah oke,0.0,gal login apikasi yang udah oke
app ny update trs sy update skrg update,0.0,app ny update trs sy update skrg update
gak update,0.0,gak update
kyk nya bagus yg biru mudah simpel cpt koneknya jujur klu yg kuning susah ribet saran sy nasabah setia mandiri mohon jng blokir yg biru utk yg kuning kasih bintang,0.0,kyk dia bagus yang biru mudah simpel cpt konek dia jujur klu yang kuning susah ribet saran sy nasabah setia mandiri mohon jng blokir yang biru utk yang kuning kasih bintang
ga dibuka,0.0,ga buka
parah apk update ngaur nya bagus mandiri biru orang bayar shopee aja ribet,0.0,parah apk update ngaur dia bagus mandiri biru orang bayar shopee aja ribet
aplikasi gak rilis lambaaaat,0.0,aplikasi gak rilis lambaaaat
mohon aplikasi mandiri memperbaiki livin kuning juli buka aplikasi notifikasi berhasil terhubung otomatis transaksi on time keluhan pelanggan perihal terimakasih pindah bank,0.0,mohon aplikasi mandiri baik livin kuning juli buka aplikasi notifikasi berhasil hubung otomatis transaksi on time keluh langgan perihal terimakasih pindah bank
enak logo biru logo kuning gagal koneksi gagal transaksi transaksi proses saldo udh kepotong logo biru ajja,0.0,enak logo biru logo kuning gagal koneksi gagal transaksi transaksi proses saldo udh kepotong logo biru ajja
download livin kuning baca komentar bnyak yg menyeramkan gak download pakai livin mandiri yg biru top markotop,0.0,download livin kuning baca komentar bnyak yang seram gak download pagai livin mandiri yang biru top markotop
item multi payment,0.0,item multi payment
kerjaan kl diupdate,0.0,kerja kl update
perasaan perbaikan,0.0,rasa baik
aplikasi tai,0.0,aplikasi tai
aplikasi kuning yg ulas berhasil download kuning yth admin deadline utk pemakaian aplikasi biru,0.0,aplikasi kuning yang ulas berhasil download kuning yth admin deadline utk pakai aplikasi biru
goreng patut,0.0,goreng patut
maaf bintang jujur kesel upgrade bagus tp kualitas menurun mempermudah jd ribet ga login ga transaksi,0.0,maaf bintang jujur kesel upgrade bagus tp kualitas turun mudah jd ribet ga login ga transaksi
krm pls gk kemarin update susah,0.0,krm pls gk kemarin update susah
bagus aplikasi du,0.0,bagus aplikasi du
applikasi menyusahkan ubah password slalu gagal balas sms puluhan sms dikirim gak bsa d verifikasi kayaknya mending ganti bank klo kayak gini trusss pengaturan sms tuk premium izinkan k mandiri langsung tanyain aja ferifikasi bermasalah nunggu bbrapa bru gimana mai tranksaksi,0.0,applikasi susah ubah password slalu gagal balas sms puluhan sms kirim gak bsa d verifikasi kayak dia mending ganti bank klo kayak gini trusss atur sms tuk premium izinkan k mandiri langsung tanya aja ferifikasi masalah nunggu bbrapa bru gimana mai tranksaksi
bagusan living mandiri biru ribet lbh lemot jg,0.0,bagus living mandiri biru ribet lbh lemot jg
persaan bagus yg logo biru si kalo yg kuning memuaskan berharap ganti logo kuning bagus kecewa,0.0,sa bagus yang logo biru si kalo yang kuning puas harap ganti logo kuning bagus kecewa
error,0.0,error
gak pembayaran online nya gak aneh nya praktis bikin ribet,0.0,gak bayar online dia gak aneh dia praktis bikin ribet
update mengganggu penawaran iklan orang awam,0.0,update ganggu tawar iklan orang awam
mohon minimal penarikannya adain rb jgn rb,0.0,mohon minimal narik dia adain rb jgn rb
pas pulalah livin brmasalah sdh bank tp ttp sj blm bs update solusinya tolong dibenahi aktivitas jdi trganggu krn tdk bs transaksi,0.0,pas pulalah livin brmasalah sdh bank tp ttp sj blm bs update solusinya tolong benah aktivitas jdi trganggu krn tdk bs transaksi
gguan,0.0,gguan
aplikasi yg buruk bagus,0.0,aplikasi yang buruk bagus
trus update apk nya,0.0,trus update apk dia
versi lemmot,0.0,versi lemmot
login kadang susah internet lancar,0.0,login kadang susah internet lancar
maaf izin ya meng apdet lvin mandiri susah,0.0,maaf izin ya meng apdet lvin mandiri susah
ok,0.0,ok
siang sampe malam gk buka temen q gt error bos,0.0,siang sampe malam gk buka temen q gt error bos
et dah buka rekening via online jm stngh kurng nympe jm blm slsai estimasi layar mah menit piye iki payah tenan,0.0,et dah buka rekening via online jm stngh kurng nympe jm blm slsai estimasi layar mah menit piye iki payah tenan
memudahkan boooong seharian gak dibuka nth gara krg nya info,0.0,mudah boooong seharian gak buka nth gara krg dia info
ajur,0.0,ajur
uninstall,0.0,uninstall
data cocok pake yg,0.0,data cocok pake yang
disuruh diperbaharui diperbaharui mlah aplikasinya lemoot menyesal,0.0,suruh baharu baharu mlah aplikasi dia lemoot sesal
susah login,0.0,susah login
ga ni apk kirim kode verifikasi g berhasil,0.0,ga ni apk kirim kode verifikasi g berhasil
gatau capek bgt dah ketik kalo setuju,0.0,gatau capek bgt dah ketik kalo setuju
tersimpan no rekening transaksi,0.0,simpan no rekening transaksi
kebanyakan gangguan nya,0.0,kebanyakan ganggu dia
masuk mengganti sandi ganti lupa sandi,0.0,masuk ganti sandi ganti lupa sandi
kuning gagal mulu error mulu seharian biru ok transaksi,0.0,kuning gagal mulu error mulu seharian biru ok transaksi
tgl error jam tgl sekelas mandiri lo,0.0,tgl error jam tgl sekelas mandiri lo
xiomi t g bermasalah tunggu updatenya tetatpi selsai transaksi handphone yg pakai ngehank layar gerak logo kuning mengganggu butuh alat transaksi yg mudah aman kendala,0.0,xiomi t g masalah tunggu update dia tetatpi selsai transaksi handphone yang pagai ngehank layar gerak logo kuning ganggu butuh alat transaksi yang mudah aman kendala
install tunggu jam menunggu,0.0,install tunggu jam tunggu
transaksi nganggu slesai updet knapa ya lemot ampun,0.0,transaksi nganggu slesai updet knapa ya lemot ampun
programernya dipersiapkan programer logo biru diganti logo kuning nasabah disuruh upgrade programnya amburadul nasabah uji percobaan hasilnya mengecewakan disayangkan bank mandiri prasarananya sesuai harapan nasabah,0.0,programer dia siap programer logo biru ganti logo kuning nasabah suruh upgrade program dia amburadul nasabah uji coba hasil dia kecewa sayang bank mandiri prasarana dia sesuai harap nasabah
kebanyakan gangguan mlm,0.0,kebanyakan ganggu mlm
aplikasinya abis update gabisa pake,0.0,aplikasi dia abis update gabisa pake
merepotkan bsk sy bank aja pret sy bikin sulit sy rush pindah bank yg gak ribet,0.0,merepotkan bsk sy bank aja pret sy bikin sulit sy rush pindah bank yang gak ribet
uptade berulangkali dn sukses tpi tdak dibuka uptade mohon bantuannya,0.0,uptade ulangkal dn sukses tpi tdak buka uptade mohon bantu dia
error mulu,0.0,error mulu
login aja susah,0.0,login aja susah
verifikasi nya,0.0,verifikasi dia
allah jelek banget gw mai bayar akulaku loading gagal aplikasi kalo ga seoke yg mandiri biru ga ganti,0.0,allah jelek banget gw mai bayar akulaku loading gagal aplikasi kalo ga seoke yang mandiri biru ga ganti
d uninstal d download ulang susah masuk sampe pulsa habis,0.0,d uninstal d download ulang susah masuk sampe pulsa habis
sulit transaksi gara gara login muncul pesan berhasil terhubung coba,0.0,sulit transaksi gara gara login muncul pesan berhasil hubung coba
bapuk aplikasi bumn kacauuuu keenakan makan gaji kerjanya ky e e merugikan,0.0,bapuk aplikasi bumn kacauuuu ena makan gaji kerja dia ky e e merugikan
susah bgt login koneksi bermasalah padalan coba pakai wifi mending yg biru mohon perbaiki,0.0,susah bgt login koneksi masalah padalan coba pagai wifi mending yang biru mohon perbaiki
g sih suruh ubah pasword giliran sms verifikasi udah kir m kali ubah pasword gak masuk masuk,0.0,g sih suruh ubah pasword gilir sms verifikasi udah kir m kali ubah pasword gak masuk masuk
aplikasinya dibuka error aplikasi gimana cek saldo dll,0.0,aplikasi dia buka error aplikasi gimana cek saldo dll
kemarin ga verifikasi sms pulsa kepotong kali pagi verifikasi sms email udah masuk aplikasi nya giliran logout ga pas lihat pengaturan cek nomor handphone tertera email aja terverifikasi haduh ujung ujung nya verifikasi sms parah nih udah nyedot pulsa ane pakai xl aplikasi nya kebuka loading muter,0.0,kemarin ga verifikasi sms pulsa kepotong kali pagi verifikasi sms email udah masuk aplikasi dia gilir logout ga pas lihat atur cek nomor handphone tertera email aja terverifikasi haduh ujung ujung dia verifikasi sms parah nih udah nyedot pulsa ane pakai xl aplikasi dia kebuka loading muter
signal bagus terhubung log in tolong perbaiki pelayanannya nyaman,0.0,signal bagus hubung log in tolong perbaiki layan dia nyaman
verifikasi wajah gagal ga,0.0,verifikasi wajah gagal ga
kendala nya kalo trouble,0.0,kendala dia kalo trouble
bikin app kayak gak niat gagal terhubung mulu,0.0,bikin app kayak gak niat gagal hubung mulu
nyaman apk apk sederhana bagusan pembayaran dana mudah kekurangan fatal aplikasi lihat histori emoney,0.0,nyaman apk apk sederhana bagusan bayar dana mudah kurang fatal aplikasi lihat histori emoney
tololl update ga bs begookk mandiri,0.0,tololl update ga bs begookk mandiri
livin by mandiri bukak telpon maintenance sampek gak dibukak tolong aplikasi diperbaiki gak kembalikan livin,0.0,livin by mandiri bukak telpon maintenance sampek gak bukak tolong aplikasi baik gak mbali livin
mudah livin hiru kuning updatenya memuaskan,0.0,mudah livin hiru kuning update dia puas
knapa susah buka skrg,0.0,knapa susah buka skrg
kocax pake x,0.0,kocax pake x
aplikasi lambat bagusan livin biru,0.0,aplikasi lambat bagus livin biru
skrg susah login gagal jaringan full bagus,0.0,skrg susah login gagal jaring full bagus
living eror buka gk,0.0,living eror buka gk
sekelas bank mandiri ternama top up dana aja nomer udah bener tulisannya transaksi lanjuti karna nomer proses nomer top up tolong benahi system nya terima kasih,0.0,sekelas bank mandiri ternama top up dana aja nomer udah bener tulis dia transaksi lanjuti karna nomer proses nomer top up tolong benahi system dia terima kasih
eksentrisitazzz,0.0,eksentrisitazzz
aneh pas masuk disuruh update pas diklik update gak update playstore nya tolong diperbaiki,0.0,aneh pas masuk suruh update pas klik update gak update playstore dia tolong baik
aplikasi eror,0.0,aplikasi eror
jelek bgt aplikasinya suruh nunggu menit udh jam gabisa gajelas,0.0,jelek bgt aplikasi dia suruh nunggu menit udh jam gabisa gajelas
jelek mendingbca,0.0,jelek dingbca
sebel buka app sulit buka pengaturan otomatis segalah lakukan gk bi buka app nya,0.0,sebel buka app sulit buka atur otomatis segalah laku gk bi buka app dia
d suruh ubah password bulannya repot eh gak buka karna ubah password,0.0,d suruh ubah password bulan dia repot eh gak buka karna ubah password
aplikasi error trus nasabah kecewa yg transaksi transaksi,0.0,aplikasi error trus nasabah kecewa yang transaksi transaksi
livin eror lemot payah mending pindah ajah by,0.0,livin eror lemot payah mending pindah ajah by
kalo belom aplikasi mobile banking gausah maksain tanggal eror sih kecewa pake livin mending pake mandiri online,0.0,kalo belom aplikasi mobile banking gausah maksain tanggal eror sih kecewa pake livin mending pake mandiri online
banking buruk dinatara,0.0,banking buruk dinatara
tanggal kemaren uninstal dipake tggl eror aja udah restart udah bersihkan riwayat cache tetep aja pas buka aplikasinya keawal ngga kebuka blas tolong diperbaiki donk min klw transfer kendala repot bolak mesin atm aplikasi livin mempermudah nasabah bertransaksi repot nyari atm antri berlama sekedar transfer doang,0.0,tanggal kemaren uninstal pake tggl eror aja udah restart udah sih riwayat cache tetep aja pas buka aplikasi dia keawal ngga kebuka blas tolong baik donk min klw transfer kendala repot bolak mesin atm aplikasi livin mudah nasabah transaksi repot nyari atm antri lama sekedar transfer doang
errorr mulu gabisa ngecek saldo ngehang gmn udah updatean terbaru lohhh transaksi jd gabisa kecewa,0.0,errorr mulu gabisa ngecek saldo ngehang gmn udah updatean baru lohhh transaksi jd gabisa kecewa
aplikasi yg aneh proses pembayaran uang d ambil tpi transaksi berhasil tulisan transaksi berhasil tpi saldo berkurang bagus aplikasi yg,0.0,aplikasi yang aneh proses bayar uang d ambil tpi transaksi berhasil tulis transaksi berhasil tpi saldo kurang bagus aplikasi yang
error penangannya penjelasan nya,0.0,error tangan dia jelas dia
saldo gak diambil pake ditahan gak diambil dah gitu potongan gak banget ngerugiin konsumen aja nabung utuh rugi diambil mulu gak,0.0,saldo gak ambil pake tahan gak ambil dah gitu potong gak banget rugiin konsumen aja nabung utuh rugi ambil mulu gak
punyak daftar,0.0,punyak daftar
apk nya update,0.0,apk dia update
tanggal lahir salah iya lupa tanggal lahir,0.0,tanggal lahir salah iya lupa tanggal lahir
mahal sistem administrasi nya,0.0,mahal sistem administrasi dia
susah login pembaruan ngk asik wifi jos bukak livin by mandiri muter jon jon mihon perbaiki min,0.0,susah login baru ngk asik wifi jos bukak livin by mandiri muter jon jon mihon perbaiki min
bikin aplikasi kalo login aja ngk produk gagal,0.0,bikin aplikasi kalo login aja ngk produk gagal
eror maintenance siang aplikasinya lemot hmmm,0.0,eror maintenance siang aplikasi dia lemot hmmm
ni nggak d buka,0.0,ni nggak d buka
x kirim sms verifikasi gak respon,0.0,x kirim sms verifikasi gak respon
aplikasi ccd nyusahin gak dibuka skip ganti bank,0.0,aplikasi ccd nyusahin gak buka skip ganti bank
kecewa apk jelek eror mulu bermasalah tolong kembalikan apk mandiri yg menyukai apk yg living by mandiri gold,0.0,kecewa apk jelek eror mulu masalah tolong mbali apk mandiri yang suka apk yang living by mandiri gold
eror ci knpa ga bs lht saldo ci,0.0,eror c knpa ga bs lht saldo c
update menerus hapusin apk beda nya update update setahun berkali kali jelek banget,0.0,update terus hapusin apk beda nya update update setahun berkali kali jelek banget
aplikasi ga login salah password sma disuru bikin ulang password trus,0.0,aplikasi ga login salah password sma suru bikin ulang password trus
menunya nyusahin gampang biru gak kepaksa ganti males ganti kuning,0.0,tunya nyusah gampang biru gak kepaksa ganti males ganti kuning
gangguan,0.0,ganggu
bacut pagi ga masuk masuk payah aplikasi kbanyakan eror gangguan mulu ga livin ga atm nya aja,0.0,bacut pagi ga masuk masuk payah aplikasi kbanyak eror ganggu mulu ga livin ga atm dia aja
lelet banget pake yg biru isi spay pake coba berkali tetep ga trus ganti apk tp ga buruk mempersulit,0.0,lelet banget pake yang biru isi spay pake coba berkali tetep ga trus ganti apk tp ga buruk sulit
susah pake yg login aja susah luppa password bank suruh ganti nomer males bnget,0.0,susah pake yang login aja susah luppa password bank suruh ganti nomer males bnget
code verifikasi nomer gak error,0.0,code verifikasi nomer gak error
macet macetan,0.0,macet macet
diperbaharui,0.0,baharu
gak tranksaksi,0.0,gak tranksaksi
update aja gabisa bagus yg mandiri biru,0.0,update aja gabisa bagus yang mandiri biru
jahat apk ya pulsa habis nyambung rugi,0.0,jahat apk ya pulsa habis nyambung rugi
min gk buka nih,0.0,min gk buka nih
kalo komen trus gmail livin trus nge wa hati hati modus penipuan gegara uang hilang dikirain ngehubungi via gmail wa bank,0.0,kalo komen trus gmail livin trus nge wa hati hati modus tipu gegara uang hilang kira hubung via gmail wa bank
semenjak pemberlakuan living kuning kesulitan transaksi krn hp realme pro kirim sms mandiri lg atm menyulitkan konsumen versi biru app nya mengecewakan,0.0,semenjak pemberlakuan living kuning sulit transaksi krn hp realme pro kirim sms mandiri lg atm sulit konsumen versi biru app dia kecewa
suka livin biru kuning yg biru simple yg kuning menang tampilan nya doang,0.0,suka livin biru kuning yang biru simple yang kuning menang tampil dia doang
april gak ad livin sekarag error,0.0,april gak ad livin sekarag error
terdaftar ya,0.0,daftar ya
pulsa ampe habis cmn verifikasi sms berhasil diterima tetep gabisa masuk enakan biru,0.0,pulsa ampe habis cmn verifikasi sms berhasil terima tetep gabisa masuk enak biru
aplikasi bagusan biru masuk aja susah klik berulang ulang,0.0,aplikasi bagus biru masuk aja susah klik berulang ulang
canggih,0.0,canggih
bikin nomer rekening daftar anjurkan bikin atm kantor kartunya,0.0,bikin nomer rekening daftar anjur bikin atm kantor kartu dia
apk nya parah login udah kirim sms pulsa udah kepotong gak buka suruh kirim sms gak ngabisin pulsa parah banget udah gitu eror mulu,0.0,apk dia parah login udah kirim sms pulsa udah kepotong gak buka suruh kirim sms gak abisin pulsa parah banget udah gitu eror mulu
transaksi shopee ribet pembayaran ribet pakai penyedia jasa apalah intinya klau gak ccok nmorny gak,0.0,transaksi shopee ribet bayar ribet pagai sedia jasa apalah inti dia klau gak ccok nmorny gak
uang kip turun tp bank gx gimana sihh gajls,0.0,uang kip turun tp bank gx gimana sihh gajls
ampasss maintenance pagi sampe malam ga pemberitaan bank kelas teri kah kelas kampung,0.0,ampasss maintenance pagi sampe malam ga berita bank kelas teri kah kelas kampung
livin error,0.0,livin error
aja,0.0,aja
bnyak eror bug dll d buka slalu close bingung d buka menerus parah d close gk bsa buka appnya,0.0,bnyak eror bug dll d buka slalu close bingung d buka terus parah d close gk bsa buka app dia
gak dibuka,0.0,gak buka
smngkin susah ajh aplikasih livin mandiri masak mantak update lansung hilng terpasa bnk daftar ulang,0.0,smngkin susah ajh aplikasih livin mandiri masak mantak update lansung hilng pasa bnk daftar ulang
coba coba coba,0.0,coba coba coba
gk terverifikasi gagal puluhan kali nyoba gak transaksi,0.0,gk terverifikasi gagal puluhan kali nyoba gak transaksi
rib et banget udah daftar hp yg orang kirim kartu atm no kartu atm login nyusahin,0.0,rib et banget udah daftar hp yang orang kirim kartu atm no kartu atm login nyusahin
verifikasi sms mengikuti bmri id smsverif,0.0,verifikasi sms ikut bmri id smsverif
ribet transfer susah loading mending pake biru,0.0,ribet transfer susah loading mending pake biru
nominal simpanan bank hrs brp biar top up plsa,0.0,nominal simpan bank hrs brp biar top up plsa
aplikasi buruk login bikin atm trus instal livin perivikasi email gagal aplikasi jelek,0.0,aplikasi buruk login bikin atm trus instal livin perivikasi email gagal aplikasi jelek
kinerja aplikasi bagusan dibikin mudah,0.0,kinerja aplikasi bagusan bikin mudah
update gk masuk aplikasih yaa bacaan skami mengecek hadeh susah livin aplikasinya kesini gk bener,0.0,update gk masuk aplikasih yaa baca skami mengecek hadeh susah livin aplikasi dia kesini gk bener
eror udh diupdate tetep update trus ga dipakai tolong diperbaiki update tpi jelek gangguan butuhkan,0.0,eror udh update tetep update trus ga pakai tolong baik update tpi jelek ganggu butuh
ya livin eror,0.0,a <sos>a livin eror
ngisi nama perusahaan pas cari nama perusahaannya ga tolol,0.0,ngisi nama usaha pas cari nama usaha dia ga tolol
bayar bpjs kesehatan gangguan,0.0,bayar bpjs sehat ganggu
kualitas aplikasi m banking sekelas mandiri aplikasi gak dibuka semenjak pertamakali diinstall udah hapus install ulang tetep aja stuck halaman program nya gratisan emang gak budget iya m banking sekelas mandiri kek gini beda kelasnya bca mobile,0.0,kualitas aplikasi m banking sekelas mandiri aplikasi gak buka semenjak pertamakali install udah hapus install ulang tetep aja stuck halaman program dia gratisan emang gak budget iya m banking sekelas mandiri kek gini beda kelas nya bca mobile
sulit utk utk transaksi klu faham awam binggung utk faktor keamanan login password mandiri banking biru user name mengunakan password keamanan login,0.0,sulit utk utk transaksi klu faham awam binggung utk faktor aman login password mandiri banking biru user name una password aman login
orangnya cashless cardless app troubel seharian ga ngapa in,0.0,orang dia cashless cardless app troubel seharian ga ngapa in
recomend kartu kunjung dikirim login memasukan kartu bikin online kalo ujung ujungnya kecabang bank sebelah yg menyeleseikan cepat pelayanannya super lelet,0.0,recomend kartu kunjung kirim login pasukan kartu bikin online kalo ujung ujung dia kecabang bank sebelah yang selesei cepat layan dia super lelet
bermasalah gagal terhubung,0.0,masalah gagal hubung
eror loading bagusan yg,0.0,eror loading bagusan yang
cacat apk bukanya permudah persulit topup,0.0,cacat apk buka dia permudah persulit topup
aplikasi nya ngga login meakipun udah berkali kali tetep ngga login,0.0,aplikasi dia ngga login meakipun udah berkali kali tetep ngga login
eror gak berguna,0.0,eror gak guna
mohon tolong perbaiki sistem nya iya kali transfer yg kali nya gagal terimah kasih,0.0,mohon tolong perbaiki sistem dia dia kali transfer yang kali dia gagal imah kasih
diupgrade beres bikin lambat transaksi signal dsbgainya bagus mending livin biru,0.0,upgrade beres bikin lambat transaksi signal dsbgai dia bagus mending livin biru
isi pulsa verifikasi gagal trus pelayanan nya verifikasi sms nya adakah,0.0,isi pulsa verifikasi gagal trus layan dia verifikasi sms dia ada kah
top up game saldo berkurang tata pembayaran tagihan saldo berkurang status transaksi berhasil not good,0.0,top up game saldo kurang tata bayar tagih saldo kurang status transaksi berhasil not good
transaksi ya mbanking mandiri,0.0,transaksi ya mbanking mandiri
bagusan yg livin yg kuning byk maintenance,0.0,bagus yang livin yang kuning byk maintenance
kebanyakan update verifikasi ulang,0.0,kebanyakan update verifikasi ulang
parah nyampe s karang ga bsa pakai m banking mandiri,0.0,parah nyampe s karang ga bsa pagai m banking mandiri
gagal login terossss,0.0,gagal login terossss
nyesel donlot aplikasi jelek,0.0,nyesel donlot aplikasi jelek
masuk aplikasi bantu cs bank mandiri mohon dibantu,0.0,masuk aplikasi bantu cs bank mandiri mohon bantu
licin kuning jelek error transaksi spaylater,0.0,licin kuning jelek error transaksi spaylater
aplikasi livin by mandiri gak gak uddate masukan versi,0.0,aplikasi livin by mandiri gak gak uddate masuk versi
login,0.0,login
error troos dri uadh ngga topup,0.0,error troos dri uadh ngga topup
benci apdet nya lma,0.0,benci apdet dia lma
why close button not work,0.0,why close button not work
payah eror,0.0,payah eror
developer mengecewakan,0.0,developer kecewa
m bangking nya suka macet hp ku,0.0,m bangking dia suka macet hp aku
heran update mulu,0.0,heran update mulu
makain susah aja sih,0.0,makain susah aja sih
jelek bageetttttttt ngisi shopepay gak,0.0,jelek bageetttttttt ngisi shopepay gak
living anjeng transfer kebank aja susah perbaikin cepat apk dibutuhkan gak,0.0,living anjeng transfer kebank aja susah baik cepat apk butuh gak
update muluuuuu,0.0,update muluuuuu
bagussss aplikasinya,0.0,bagussss aplikasi dia
bikin rekening gagal mulu gada ni apps,0.0,bikin rekening gagal mulu gada ni apps
kenapaa sih bnyakan ngeluh banget livin yg kuning diperbaikin kmren transfer skrg gk ribett bngt jdi nya,0.0,kenapaa sih bnyak ngeluh banget livin yang kuning perbaikin kmren transfer skrg gk ribett bngt jdi dia
diperbarui ga ga log in pdahal jringan nya bagus mandiri payah,0.0,baru ga ga log in pdahal jring dia bagus mandiri payah
woy developer kyak mna org cek saldo sma bayar gak lbh jgn sruh update livin kuning klau kyak gni mnding biru gk ad kndala gni org bayar mlah gk bsa d buka livin nya,0.0,woy developer kyak mna org cek saldo sma bayar gak lbh jgn sruh update livin kuning klau kyak gni mnding biru gk ad kndala gni org bayar mlah gk bsa d buka livin dia
masuk suruh abdet bikin jengkel,0.0,masuk suruh abdet bikin jengkel
gimana apk nya gagal terhubung maksudnya,0.0,gimana apk dia gagal hubung maksud nya
gak login,0.0,gak login
sarankan pakai bank pelayanan fitur fiturnyapun ribet,0.0,saran pagai bank layan fitur fiturnyapun ribet
tolong diperbarui android aplikasinya kompatibel penggunaan baterai,0.0,tolong baru android aplikasi dia kompatibel guna baterai
ok,0.0,ok
aplikasinya lg yah buka ga,0.0,aplikasi dia lg yah buka ga
shopeepay hilang ya,0.0,shopeepay hilang ya
ngapain update msh bagus aplikasi yg,0.0,ngapain update msh bagus aplikasi yang
aplikasi sampah dibikin pengembang bego yg aktif ganti aplikasi susah login,0.0,aplikasi sampah bikin kembang bego yang aktif ganti aplikasi susah login
payah,0.0,payah
gak dipakai maintenance seharian blm kelar,0.0,gak pakai maintenance seharian blm kelar
berkali pin traksaksi gagal login finger print susah aplikasi yg mudah penggunaannya,0.0,berkali pin traksaksi gagal login finger print susah aplikasi yang mudah guna dia
kecewa puas aplikasi livin karna susah buka butuh upgrade aplikasi mandiri,0.0,kecewa puas aplikasi livin karna susah buka butuh upgrade aplikasi mandiri
pengaturan jam otomatis udh diatur otomatis gabisa dibuka why,0.0,atur jam otomatis udh atur otomatis gabisa buka why
gimana verifikasi sms gak pakai yg biru lancar aja menyusah butuh cepet tolong respon nya,0.0,gimana verifikasi sms gak pagai yang biru lancar aja susah butuh cepet tolong respon dia
instal nya aja lola banget gagal,0.0,instal dia aja lola banget gagal
terbaru susah dibandingkan versi ketik ulang nomor rekening terpenting livin versi terbaru ne bikin susah makain membantu,0.0,baru susah banding versi ketik ulang nomor rekening penting livin versi baru ne bikin susah makain bantu
aplikasinya menguras baterai,0.0,aplikasi dia uras baterai
aplikasi tolol habis pulsa doang login ribet menu registrasi,0.0,aplikasi tolol habis pulsa doang login ribet menu registrasi
konsumen mandiri sma th menyukai fitur fitur terbaru livin pas indonesia tolong opsi verifikasi wni tinggal negeri jepang verifikasi ulang sms menyulitkan kudu pakai nomor indonesia tertinggal kemajuan zaman opsi verifikasi whatsapp number line verifikasi foto ktp orang asing dll,0.0,konsumen mandiri sma th suka fitur fitur baru livin pas indonesia tolong opsi verifikasi wni tinggal negeri jepang verifikasi ulang sms sulit kudu pagai nomor indonesia tinggal maju zaman opsi verifikasi whatsapp number line verifikasi foto ktp orang asing dll
parah ni g update jelek apk nya menyusahkan mending g download g bintang apk nya parah jelek mengecewakan nyaman yg warna biru,0.0,parah ni g update jelek apk dia susah mending g download g bintang apk dia parah jelek kecewa nyaman yang warna biru
gak update download ulang tolong mandiri mempersulit,0.0,gak update download ulang tolong mandiri sulit
gk ni living verifikasi wajah pas tpi wajah gk trdektesi gk emng sial udh prnh make cmn hps pas msuk lgi dimntai lgi verifikasi wajah,0.0,gk ni living verifikasi wajah pas tpi wajah gk trdektesi gk emng sial udh prnh make cmn hps pas msuk lgi dimntai lgi verifikasi wajah
apk gag bsa d buka,0.0,apk gag bsa d buka
cacat,0.0,cacat
livin by mandiri nyedot pulsa ggl n ggl sekelas mandiri ko spert,0.0,livin by mandiri nyedot pulsa ggl n ggl sekelas mandiri ko spert
regestrasi gagal udah kali kirim sms,0.0,regestrasi gagal udah kali kirim sms
bintang,0.0,bintang
nambah nambahi jam kerja cabang terdekat ribet,0.0,nambah nambahi jam kerja cabang dekat ribet
knp aplikasi terbaru stelah update lambat transaksi tdk loadingnya parah bgt,0.0,knp aplikasi baru stelah update lambat transaksi tdk loading dia parah bgt
ko lemot banget udh abis pulsa ngga,0.0,ko lemot banget udh abis pulsa ngga
ga masuk aneh bgt,0.0,ga masuk aneh bgt
diupdate,0.0,update
proses memperisapkan rekening sesuai cantumkan sehari,0.0,proses perisap rekening sesuai cantum sehari
ya diupdate melulu,0.0,a <sos>a update lulu
masuk melulu,0.0,masuk lulu
ayolah bugnya diperbaiki,0.0,ayolah bug dia baik
daftar pake apk kartu kunjung ngimail mandiri huh tetep rispek,0.0,daftar pake apk kartu kunjung ngimail mandiri huh tetep rispek
pake apk new livin poin transaksi apapun poin,0.0,pake apk new livin poin transaksi apa pun poin
saldo draktis saldo pekerja cuman rb rb tolong perbaiki rakyat gajih beratkan dama limit kalah benking bank kalah klo perbaiki nasabah kabur pindah bank terimakasih mengecewakan,0.0,saldo draktis saldo pekerja cuman rb rb tolong perbaiki rakyat gajih atkan dama limit kalah benking bank kalah klo perbaiki nasabah kabur pindah bank terimakasih kecewa
gara aplikasi ga isi top up parah yg saldo atm habis penipuan tolong bikin aplikasi udah memadai bikin susah orang saldo hati kejadian konfirmasi nya,0.0,gara aplikasi ga isi top up parah yang saldo atm habis tipu tolong bikin aplikasi udah memadai bikin susah orang saldo hati jadi konfirmasi dia
jelek,0.0,jelek
